Indent_ID,Truck_Number,Customer_ID,Cluster_ID,MS_Requirement,HSD_Requirement,LDO_Requirement,FO_Requirement,LSHS_Requirement,SKO_Requirement,Latitude,Longitude,Sealing_Status,Customer_Satisfaction,Truck_Capacity
INDENT14604,Cluster4_Truck68,Customer604,Cluster4,58.33,45.85,33.91,7.55,38.3,19.09,25.193121,81.303587,Not Sealed,Bad,330.0
INDENT14704,Cluster4_Truck68,Customer704,Cluster4,0.89,1.65,20.22,54.8,3.74,3.59,10.427851,79.499402,Sealed,Good,330.0
INDENT15104,Cluster4_Truck68,Customer1104,Cluster4,23.21,59.11,43.08,4.45,11.5,43.48,17.110315,75.171673,Not Sealed,Moderate,330.0
INDENT15304,Cluster4_Truck68,Customer1304,Cluster4,12.34,55.13,27.29,50.31,12.56,17.33,24.034536,85.76751,Sealed,Good,330.0
INDENT5,Cluster5_Truck87,Customer5,Cluster5,10.19,21.81,16.58,59.32,57.83,1.51,10.514116,83.993398,Not Sealed,Good,320.0
INDENT2505,Cluster5_Truck87,Customer505,Cluster5,35.2,51.36,16.88,14.54,18.23,43.68,23.839199,73.251343,Not Sealed,Bad,320.0
INDENT5805,Cluster5_Truck87,Customer1805,Cluster5,52.07,6.29,27.69,0.14,9.97,58.33,19.335156,79.220971,Sealed,Good,320.0
INDENT6305,Cluster5_Truck87,Customer305,Cluster5,52.74,11.05,21.04,10.18,41.92,47.07,12.087444,74.128983,Sealed,Good,320.0
INDENT10105,Cluster5_Truck87,Customer105,Cluster5,24.81,32.82,29.92,24.72,34.68,7.53,20.950319,76.228378,Sealed,Good,320.0
INDENT13005,Cluster5_Truck87,Customer1005,Cluster5,0.95,27.54,29.17,48.32,50.46,43.89,16.248222,74.074484,Sealed,Good,320.0
INDENT13505,Cluster5_Truck87,Customer1505,Cluster5,27.8,7.94,7.02,37.11,54.55,31.89,18.558495,83.165831,Sealed,Good,320.0
INDENT16905,Cluster5_Truck87,Customer905,Cluster5,55.1,21.01,14.7,40.08,47.77,59.64,14.773453,78.877815,Sealed,Good,320.0
INDENT6,Cluster6_Truck101,Customer6,Cluster6,52.89,7.53,23.93,39.57,58.94,34.32,10.936213,89.116069,Sealed,Good,240.0
INDENT4806,Cluster6_Truck101,Customer806,Cluster6,9.72,18.38,28.6,36.51,24.54,59.83,17.244146,82.953732,Not Sealed,Bad,240.0
INDENT5906,Cluster6_Truck101,Customer1906,Cluster6,46.36,25.19,41.24,33.58,28.46,12.74,10.653816,86.626253,Not Sealed,Good,240.0
INDENT7006,Cluster6_Truck101,Customer1006,Cluster6,58.24,46.44,48.1,22.64,14.7,16.94,10.55452,79.217927,Sealed,Good,240.0
INDENT15706,Cluster6_Truck101,Customer1706,Cluster6,14.36,52.25,52.46,4.77,2.62,18.13,28.502925,70.983894,Sealed,Good,240.0
INDENT17906,Cluster6_Truck101,Customer1906,Cluster6,57.18,30.53,30.19,4.24,13.04,35.82,21.484749,85.706771,Sealed,Good,240.0
INDENT7,Cluster7_Truck123,Customer7,Cluster7,57.27,21.05,44.46,54.36,56.59,25.23,17.143483,75.589347,Not Sealed,Moderate,280.0
INDENT3107,Cluster7_Truck123,Customer1107,Cluster7,30.57,33.55,41.87,27.09,10.57,3.95,16.453475,88.526685,Not Sealed,Moderate,280.0
INDENT8207,Cluster7_Truck123,Customer207,Cluster7,18.02,54.31,26.51,0.75,30.41,8.94,19.700784,71.53311,Sealed,Good,280.0
INDENT13107,Cluster7_Truck123,Customer1107,Cluster7,18.74,24.38,6.15,26.5,42.74,22.72,28.785243,87.67825,Sealed,Good,280.0
INDENT13307,Cluster7_Truck123,Customer1307,Cluster7,27.22,9.23,43.59,21.05,39.52,29.65,10.902024,84.356114,Sealed,Good,280.0
INDENT15007,Cluster7_Truck123,Customer1007,Cluster7,55.82,45.52,12.47,53.84,24.71,48.16,13.101228,87.674392,Not Sealed,Moderate,280.0
INDENT15607,Cluster7_Truck123,Customer1607,Cluster7,20.66,46.78,45.83,39.84,47.25,57.0,13.384741,88.466127,Sealed,Good,280.0
INDENT17607,Cluster7_Truck123,Customer1607,Cluster7,28.52,11.44,39.19,13.37,20.01,1.28,11.855676,76.639047,Not Sealed,Good,280.0
INDENT8,Cluster8_Truck159,Customer8,Cluster8,47.38,55.9,35.37,1.13,24.48,11.44,11.13039,80.382359,Sealed,Good,270.0
INDENT1308,Cluster8_Truck159,Customer1308,Cluster8,40.9,21.53,16.3,48.26,15.49,35.68,14.467184,72.264862,Sealed,Good,270.0
INDENT2408,Cluster8_Truck159,Customer408,Cluster8,13.98,52.07,14.53,49.93,54.65,56.84,16.710395,77.435979,Sealed,Good,270.0
INDENT5208,Cluster8_Truck159,Customer1208,Cluster8,4.66,2.76,14.8,18.25,32.64,18.16,13.0217,76.027324,Not Sealed,Good,270.0
INDENT8408,Cluster8_Truck159,Customer408,Cluster8,46.95,5.43,35.28,6.21,30.51,8.05,11.63793,82.604918,Sealed,Good,270.0
INDENT11808,Cluster8_Truck159,Customer1808,Cluster8,54.51,23.02,55.98,46.19,23.38,51.05,26.496445,79.642308,Sealed,Good,270.0
INDENT12808,Cluster8_Truck159,Customer808,Cluster8,4.83,55.91,43.19,42.14,37.16,31.13,15.450893,83.12798,Sealed,Good,270.0
INDENT14108,Cluster8_Truck159,Customer108,Cluster8,56.18,3.53,44.82,45.03,25.02,13.67,26.186714,71.741271,Sealed,Good,270.0
INDENT9,Cluster9_Truck170,Customer9,Cluster9,22.13,3.72,42.31,3.27,43.43,1.44,26.402653,79.893802,Sealed,Good,310.0
INDENT3109,Cluster9_Truck170,Customer1109,Cluster9,29.77,57.4,21.76,44.6,30.19,20.72,26.458115,85.873695,Not Sealed,Good,310.0
INDENT5309,Cluster9_Truck170,Customer1309,Cluster9,47.36,51.83,44.61,27.14,3.64,1.95,20.674176,80.222685,Sealed,Good,310.0
INDENT7509,Cluster9_Truck170,Customer1509,Cluster9,59.37,53.53,54.9,45.53,49.07,29.78,29.467127,77.510205,Not Sealed,Moderate,310.0
INDENT9609,Cluster9_Truck170,Customer1609,Cluster9,3.27,6.52,51.74,28.42,44.52,10.65,27.505223,79.786037,Not Sealed,Perfect,310.0
INDENT11809,Cluster9_Truck170,Customer1809,Cluster9,12.58,16.83,8.63,30.62,22.97,40.0,21.409541,88.254876,Sealed,Good,310.0
INDENT12709,Cluster9_Truck170,Customer709,Cluster9,49.44,35.72,29.46,31.35,39.26,37.54,21.119575,73.428284,Not Sealed,Perfect,310.0
INDENT15409,Cluster9_Truck170,Customer1409,Cluster9,28.35,38.15,24.14,28.22,19.54,24.78,28.884361,76.359415,Sealed,Good,310.0
INDENT17109,Cluster9_Truck170,Customer1109,Cluster9,2.29,23.54,30.46,47.15,46.02,8.61,19.464691,74.094993,Not Sealed,Perfect,310.0
INDENT10,Cluster10_Truck197,Customer10,Cluster10,11.27,52.51,23.49,19.4,36.13,25.41,20.837749,75.847706,Sealed,Good,390.0
INDENT2010,Cluster10_Truck197,Customer10,Cluster10,42.46,21.95,16.42,11.21,31.09,5.09,17.314067,87.722639,Sealed,Good,390.0
INDENT2810,Cluster10_Truck197,Customer810,Cluster10,55.53,15.01,43.9,53.33,46.85,57.69,11.394043,87.339065,Not Sealed,Good,390.0
INDENT4110,Cluster10_Truck197,Customer110,Cluster10,50.45,33.53,20.98,58.94,45.42,23.38,10.974159,73.181404,Sealed,Good,390.0
INDENT5410,Cluster10_Truck197,Customer1410,Cluster10,14.82,28.45,55.8,36.19,37.36,55.61,16.965314,78.63645,Sealed,Good,390.0
INDENT7310,Cluster10_Truck197,Customer1310,Cluster10,9.57,25.18,12.81,23.8,9.36,34.13,18.732626,71.223106,Sealed,Good,390.0
INDENT9210,Cluster10_Truck197,Customer1210,Cluster10,17.42,48.38,24.83,45.22,17.19,46.99,19.522737,76.080619,Not Sealed,Bad,390.0
INDENT10010,Cluster10_Truck197,Customer10,Cluster10,24.76,9.89,43.18,9.79,6.18,40.62,14.41839,71.066737,Not Sealed,Good,390.0
INDENT14210,Cluster10_Truck197,Customer210,Cluster10,54.36,9.64,49.8,1.54,33.84,3.34,24.596059,86.207877,Not Sealed,Perfect,390.0
INDENT15510,Cluster10_Truck197,Customer1510,Cluster10,42.32,40.51,44.81,36.58,49.82,2.33,27.316249,88.505679,Not Sealed,Bad,390.0
INDENT17010,Cluster10_Truck197,Customer1010,Cluster10,27.93,38.03,48.34,41.86,1.16,42.73,10.152951,71.816383,Sealed,Good,390.0
INDENT11,Cluster11_Truck211,Customer11,Cluster11,58.13,51.46,14.66,16.36,24.78,5.09,27.683397,74.591052,Sealed,Good,330.0
INDENT1711,Cluster11_Truck211,Customer1711,Cluster11,43.55,17.5,13.33,10.68,6.13,9.09,18.187115,70.959302,Sealed,Good,330.0
INDENT2111,Cluster11_Truck211,Customer111,Cluster11,11.38,22.56,0.63,13.48,42.2,42.53,19.693172,72.989237,Sealed,Good,330.0
INDENT2811,Cluster11_Truck211,Customer811,Cluster11,32.9,55.59,34.73,29.26,46.19,58.28,16.2928,80.539012,Sealed,Good,330.0
INDENT3011,Cluster11_Truck211,Customer1011,Cluster11,2.29,3.71,11.01,2.99,54.77,27.0,23.837759,70.984394,Not Sealed,Moderate,330.0
INDENT3611,Cluster11_Truck211,Customer1611,Cluster11,41.47,51.7,11.77,56.06,18.7,32.88,18.649172,84.52005,Sealed,Good,330.0
INDENT4311,Cluster11_Truck211,Customer311,Cluster11,41.53,15.81,27.29,41.45,8.17,52.7,19.367431,78.084261,Not Sealed,Moderate,330.0
INDENT5511,Cluster11_Truck211,Customer1511,Cluster11,32.81,31.49,18.46,59.77,22.18,25.68,21.270481,80.713414,Sealed,Good,330.0
INDENT11711,Cluster11_Truck211,Customer1711,Cluster11,21.47,43.26,38.79,0.06,36.4,6.55,12.853535,79.963043,Sealed,Good,330.0
INDENT12311,Cluster11_Truck211,Customer311,Cluster11,24.01,29.44,2.37,48.96,34.72,22.68,18.425994,82.136203,Sealed,Good,330.0
INDENT12,Cluster12_Truck232,Customer12,Cluster12,51.14,14.46,35.88,58.25,58.84,55.17,13.608427,79.652274,Not Sealed,Bad,310.0
INDENT4112,Cluster12_Truck232,Customer112,Cluster12,5.99,8.01,6.83,53.84,22.48,15.24,21.642223,70.081409,Sealed,Good,310.0
INDENT5212,Cluster12_Truck232,Customer1212,Cluster12,33.5,29.49,55.07,27.89,8.74,23.78,14.074499,75.505908,Not Sealed,Good,310.0
INDENT5512,Cluster12_Truck232,Customer1512,Cluster12,6.82,39.38,38.23,7.4,10.46,40.97,18.963591,84.065307,Sealed,Good,310.0
INDENT6312,Cluster12_Truck232,Customer312,Cluster12,58.54,50.34,27.31,15.39,35.29,51.0,10.030622,73.298517,Sealed,Good,310.0
INDENT16112,Cluster12_Truck232,Customer112,Cluster12,36.5,59.99,20.49,55.74,46.48,49.45,28.00338,75.885829,Sealed,Good,310.0
INDENT16912,Cluster12_Truck232,Customer912,Cluster12,33.33,49.2,48.52,36.05,23.98,22.3,15.290384,72.377698,Not Sealed,Perfect,310.0
INDENT17012,Cluster12_Truck232,Customer1012,Cluster12,23.41,1.9,6.67,53.22,37.21,40.45,24.26913,75.713718,Sealed,Good,310.0
INDENT13,Cluster13_Truck259,Customer13,Cluster13,33.55,59.83,54.72,8.29,51.1,4.02,17.353471,81.321577,Not Sealed,Perfect,310.0
INDENT3113,Cluster13_Truck259,Customer1113,Cluster13,0.01,31.73,45.78,29.92,56.47,0.28,27.171801,82.540761,Not Sealed,Bad,310.0
INDENT3813,Cluster13_Truck259,Customer1813,Cluster13,43.9,14.67,25.29,46.15,52.94,8.6,16.598282,80.010368,Sealed,Good,310.0
INDENT4113,Cluster13_Truck259,Customer113,Cluster13,43.61,47.32,47.96,25.41,21.64,26.87,24.630004,84.480942,Sealed,Good,310.0
INDENT5413,Cluster13_Truck259,Customer1413,Cluster13,18.6,2.46,20.01,49.17,32.07,40.97,17.842966,72.912256,Not Sealed,Bad,310.0
INDENT11713,Cluster13_Truck259,Customer1713,Cluster13,12.78,50.98,20.58,27.07,37.33,49.88,11.623467,79.102621,Sealed,Good,310.0
INDENT11913,Cluster13_Truck259,Customer1913,Cluster13,4.55,53.81,37.98,48.65,34.47,59.68,19.139975,81.785833,Sealed,Good,310.0
INDENT12513,Cluster13_Truck259,Customer513,Cluster13,43.54,37.42,3.35,22.55,23.22,44.38,26.096761,72.664993,Sealed,Good,310.0
INDENT14,Cluster14_Truck265,Customer14,Cluster14,45.17,2.76,25.86,16.51,2.81,56.7,23.214365,86.033485,Sealed,Good,440.0
INDENT2714,Cluster14_Truck265,Customer714,Cluster14,6.01,18.21,49.35,10.37,58.2,0.91,17.798491,71.645834,Sealed,Good,440.0
INDENT2914,Cluster14_Truck265,Customer914,Cluster14,17.34,53.11,2.3,44.84,7.92,44.58,16.040067,84.549997,Not Sealed,Good,440.0
INDENT3914,Cluster14_Truck265,Customer1914,Cluster14,11.81,54.97,45.93,11.98,3.25,23.91,29.399257,89.308208,Sealed,Good,440.0
INDENT5314,Cluster14_Truck265,Customer1314,Cluster14,25.78,47.0,44.48,27.33,33.68,11.37,13.890974,84.397458,Not Sealed,Bad,440.0
INDENT11614,Cluster14_Truck265,Customer1614,Cluster14,15.87,6.98,57.78,20.17,27.14,15.06,12.413237,80.988843,Not Sealed,Bad,440.0
INDENT11914,Cluster14_Truck265,Customer1914,Cluster14,33.78,40.26,3.41,52.46,36.4,16.24,21.405893,73.88205,Not Sealed,Bad,440.0
INDENT12214,Cluster14_Truck265,Customer214,Cluster14,16.18,28.89,49.53,17.26,9.84,48.93,10.027624,88.889576,Not Sealed,Perfect,440.0
INDENT12514,Cluster14_Truck265,Customer514,Cluster14,11.63,19.49,47.56,22.42,6.09,30.62,25.761253,80.837392,Not Sealed,Good,440.0
INDENT15714,Cluster14_Truck265,Customer1714,Cluster14,34.35,32.83,46.85,51.94,54.24,23.85,17.761376,76.409977,Not Sealed,Perfect,440.0
INDENT16114,Cluster14_Truck265,Customer114,Cluster14,38.13,6.95,24.45,56.41,0.93,43.97,12.348974,89.167435,Not Sealed,Bad,440.0
INDENT17214,Cluster14_Truck265,Customer1214,Cluster14,48.72,5.56,36.44,50.74,57.56,10.72,29.008449,71.23532,Sealed,Good,440.0
INDENT15,Cluster15_Truck296,Customer15,Cluster15,51.81,11.86,15.48,11.29,25.2,29.37,21.345156,79.644685,Not Sealed,Perfect,350.0
INDENT1415,Cluster15_Truck296,Customer1415,Cluster15,14.18,25.68,32.69,56.21,19.0,49.25,10.250678,85.903316,Not Sealed,Moderate,350.0
INDENT1815,Cluster15_Truck296,Customer1815,Cluster15,43.04,12.39,24.32,52.64,0.32,19.78,18.565381,74.100559,Not Sealed,Moderate,350.0
INDENT6415,Cluster15_Truck296,Customer415,Cluster15,27.91,26.86,43.4,52.72,50.0,34.99,27.168334,84.187922,Not Sealed,Perfect,350.0
INDENT7215,Cluster15_Truck296,Customer1215,Cluster15,38.28,46.25,58.5,45.83,39.57,25.57,25.833054,85.840379,Not Sealed,Good,350.0
INDENT7815,Cluster15_Truck296,Customer1815,Cluster15,9.07,0.83,30.91,21.68,49.91,14.09,15.965037,85.978693,Sealed,Good,350.0
INDENT10115,Cluster15_Truck296,Customer115,Cluster15,38.67,19.19,21.23,3.03,55.03,56.3,19.278908,71.15536,Not Sealed,Moderate,350.0
INDENT11315,Cluster15_Truck296,Customer1315,Cluster15,3.16,55.15,52.01,7.84,50.11,11.19,18.391381,88.049861,Sealed,Good,350.0
INDENT11415,Cluster15_Truck296,Customer1415,Cluster15,4.39,28.69,37.45,34.2,6.24,19.12,27.897659,89.47026,Sealed,Good,350.0
INDENT15315,Cluster15_Truck296,Customer1315,Cluster15,28.86,3.08,32.63,55.22,42.43,36.59,18.26182,88.968378,Sealed,Good,350.0
INDENT16,Cluster16_Truck302,Customer16,Cluster16,37.8,41.67,26.24,21.06,46.88,12.04,24.717194,74.307602,Sealed,Good,460.0
INDENT2116,Cluster16_Truck302,Customer116,Cluster16,19.94,40.97,52.5,27.56,56.08,0.4,10.312432,88.150975,Sealed,Good,460.0
INDENT3816,Cluster16_Truck302,Customer1816,Cluster16,47.21,35.96,19.11,38.91,57.08,41.47,15.439115,83.32464,Not Sealed,Perfect,460.0
INDENT3916,Cluster16_Truck302,Customer1916,Cluster16,36.36,2.17,55.07,44.82,8.11,11.94,27.706183,73.131516,Not Sealed,Perfect,460.0
INDENT5316,Cluster16_Truck302,Customer1316,Cluster16,40.98,43.37,7.33,12.9,32.72,35.23,20.152593,83.123228,Not Sealed,Perfect,460.0
INDENT5716,Cluster16_Truck302,Customer1716,Cluster16,41.13,12.22,55.5,37.65,7.75,19.27,27.728369,84.73304,Sealed,Good,460.0
INDENT8116,Cluster16_Truck302,Customer116,Cluster16,59.0,37.91,12.17,1.71,2.04,13.09,10.162607,74.500342,Sealed,Good,460.0
INDENT8516,Cluster16_Truck302,Customer516,Cluster16,3.54,30.44,45.21,3.77,11.14,46.97,14.106141,85.810582,Not Sealed,Perfect,460.0
INDENT9616,Cluster16_Truck302,Customer1616,Cluster16,48.82,20.64,57.23,6.74,34.54,59.95,10.410592,83.257448,Not Sealed,Bad,460.0
INDENT13916,Cluster16_Truck302,Customer1916,Cluster16,32.48,37.8,21.13,44.9,25.64,0.26,15.124208,88.303693,Not Sealed,Perfect,460.0
INDENT15616,Cluster16_Truck302,Customer1616,Cluster16,29.22,39.05,59.35,57.0,6.35,37.78,18.209886,87.364668,Sealed,Good,460.0
INDENT16216,Cluster16_Truck302,Customer216,Cluster16,2.45,44.41,38.57,25.18,9.85,8.26,26.532786,87.957431,Not Sealed,Perfect,460.0
INDENT16916,Cluster16_Truck302,Customer916,Cluster16,15.32,31.92,7.88,31.99,17.16,33.49,17.266126,89.314384,Not Sealed,Good,460.0
INDENT17,Cluster17_Truck331,Customer17,Cluster17,30.1,20.49,37.16,5.7,44.96,6.37,28.010822,77.407424,Not Sealed,Perfect,390.0
INDENT4117,Cluster17_Truck331,Customer117,Cluster17,28.09,7.03,28.08,44.36,29.47,11.46,23.457619,88.241051,Sealed,Good,390.0
INDENT6517,Cluster17_Truck331,Customer517,Cluster17,9.16,3.76,38.83,17.96,27.01,0.18,13.655957,82.261103,Not Sealed,Bad,390.0
INDENT7217,Cluster17_Truck331,Customer1217,Cluster17,31.65,58.59,33.41,44.15,54.67,16.49,11.452394,76.59046,Not Sealed,Good,390.0
INDENT7517,Cluster17_Truck331,Customer1517,Cluster17,13.01,51.12,13.79,41.54,53.16,27.81,24.090227,72.003361,Not Sealed,Perfect,390.0
INDENT7717,Cluster17_Truck331,Customer1717,Cluster17,13.83,27.95,5.67,52.3,44.12,6.9,20.364102,70.855972,Not Sealed,Moderate,390.0
INDENT11717,Cluster17_Truck331,Customer1717,Cluster17,1.73,27.05,34.94,3.08,19.89,58.25,13.914277,84.412265,Sealed,Good,390.0
INDENT12217,Cluster17_Truck331,Customer217,Cluster17,29.46,12.85,25.73,12.45,52.24,14.9,17.866717,71.506034,Not Sealed,Bad,390.0
INDENT13617,Cluster17_Truck331,Customer1617,Cluster17,51.25,4.57,1.93,11.69,30.31,5.03,11.240122,87.967366,Sealed,Good,390.0
INDENT14417,Cluster17_Truck331,Customer417,Cluster17,11.97,36.65,9.26,27.59,32.12,0.06,24.106686,76.378613,Not Sealed,Perfect,390.0
INDENT18,Cluster18_Truck341,Customer18,Cluster18,53.23,58.46,55.35,44.77,45.8,5.05,15.556087,83.026728,Sealed,Good,370.0
INDENT2318,Cluster18_Truck341,Customer318,Cluster18,30.94,22.22,12.07,52.63,6.02,39.19,19.576215,89.730637,Sealed,Good,370.0
INDENT4118,Cluster18_Truck341,Customer118,Cluster18,27.18,13.53,9.52,54.89,24.19,42.29,15.765248,79.049034,Not Sealed,Bad,370.0
INDENT6418,Cluster18_Truck341,Customer418,Cluster18,28.79,8.45,39.25,39.62,38.76,53.29,25.262821,87.06377,Not Sealed,Good,370.0
INDENT6518,Cluster18_Truck341,Customer518,Cluster18,53.45,41.42,51.17,37.5,28.34,21.14,24.312431,75.191801,Sealed,Good,370.0
INDENT6918,Cluster18_Truck341,Customer918,Cluster18,13.22,10.37,17.54,52.85,9.42,40.62,11.406243,71.791464,Sealed,Good,370.0
INDENT7118,Cluster18_Truck341,Customer1118,Cluster18,33.88,37.55,46.99,52.4,45.74,8.09,25.160585,81.481198,Sealed,Good,370.0
INDENT16318,Cluster18_Truck341,Customer318,Cluster18,54.26,49.38,36.56,25.78,49.33,10.04,11.155381,73.133931,Sealed,Good,370.0
INDENT19,Cluster19_Truck369,Customer19,Cluster19,48.41,32.83,0.42,28.31,37.92,25.18,15.346934,76.754564,Sealed,Good,360.0
INDENT619,Cluster19_Truck369,Customer619,Cluster19,10.12,28.99,11.97,12.52,3.44,24.13,28.207038,85.564872,Not Sealed,Bad,360.0
INDENT1219,Cluster19_Truck369,Customer1219,Cluster19,17.9,2.86,44.0,31.23,55.13,6.63,19.941262,73.583972,Sealed,Good,360.0
INDENT2919,Cluster19_Truck369,Customer919,Cluster19,26.86,24.51,0.77,18.68,58.86,31.45,22.388358,89.190397,Sealed,Good,360.0
INDENT4319,Cluster19_Truck369,Customer319,Cluster19,57.26,4.45,54.35,48.97,41.67,21.12,15.536566,79.309031,Sealed,Good,360.0
INDENT5419,Cluster19_Truck369,Customer1419,Cluster19,38.47,17.53,25.13,34.15,41.15,54.23,19.704617,86.85773,Sealed,Good,360.0
INDENT10719,Cluster19_Truck369,Customer719,Cluster19,56.79,23.69,49.46,17.32,48.76,50.67,13.673328,77.562865,Sealed,Good,360.0
INDENT12619,Cluster19_Truck369,Customer619,Cluster19,44.14,21.06,19.33,8.22,19.08,7.63,17.76844,87.382815,Not Sealed,Perfect,360.0
